Original,Analysed,N_chars_in_Original,N_chars_in_Analysed,N_words_in_Original,N_words_in_Analysed,N_chars_in_LCS,N_words_in_LCS,N_words_in_LCS_in_Original
orig_taska.txt, g0pA_taska.txt, 1504, 1007, 187, 131, 547, 85, 15
orig_taska.txt, g0pB_taska.txt, 1504, 1296, 187, 164, 605, 115, 11
orig_taska.txt, g0pC_taska.txt, 1504, 886, 187, 112, 657, 96, 44
orig_taska.txt, g0pD_taska.txt, 1504, 820, 187, 107, 733, 101, 86
orig_taska.txt, g0pE_taska.txt, 1504, 1406, 187, 175, 1400, 170, 164
orig_taska.txt, g1pA_taska.txt, 1504, 930, 187, 119, 563, 94, 21
orig_taska.txt, g1pB_taska.txt, 1504, 640, 187, 87, 423, 74, 9
orig_taska.txt, g1pD_taska.txt, 1504, 1089, 187, 128, 752, 98, 67
orig_taska.txt, g2pA_taska.txt, 1504, 1147, 187, 156, 579, 112, 8
orig_taska.txt, g2pB_taska.txt, 1504, 965, 187, 135, 527, 100, 13
orig_taska.txt, g2pC_taska.txt, 1504, 964, 187, 121, 705, 94, 83
orig_taska.txt, g2pE_taska.txt, 1504, 1539, 187, 192, 1101, 145, 116
orig_taska.txt, g3pA_taska.txt, 1504, 863, 187, 108, 525, 93, 12
orig_taska.txt, g3pB_taska.txt, 1504, 979, 187, 114, 536, 90, 6
orig_taska.txt, g3pC_taska.txt, 1504, 593, 187, 76, 584, 67, 58
orig_taska.txt, g4pB_taska.txt, 1504, 943, 187, 122, 517, 96, 5
orig_taska.txt, g4pC_taska.txt, 1504, 1415, 187, 176, 1232, 159, 144
orig_taska.txt, g4pD_taska.txt, 1504, 943, 187, 116, 670, 93, 60
orig_taska.txt, g4pE_taska.txt, 1504, 943, 187, 122, 550, 92, 15
orig_taskb.txt, g0pA_taskb.txt, 2233, 913, 311, 123, 796, 111, 86
orig_taskb.txt, g0pB_taskb.txt, 2233, 940, 311, 135, 609, 113, 25
orig_taskb.txt, g0pC_taskb.txt, 2233, 713, 311, 108, 517, 102, 24
orig_taskb.txt, g0pD_taskb.txt, 2233, 373, 311, 48, 316, 45, 14
orig_taskb.txt, g0pE_taskb.txt, 2233, 492, 311, 58, 473, 58, 41
orig_taskb.txt, g1pA_taskb.txt, 2233, 853, 311, 113, 601, 103, 32
orig_taskb.txt, g1pB_taskb.txt, 2233, 811, 311, 113, 555, 108, 15
orig_taskb.txt, g1pD_taskb.txt, 2233, 1259, 311, 162, 828, 140, 40
orig_taskb.txt, g2pA_taskb.txt, 2233, 1109, 311, 152, 746, 130, 39
orig_taskb.txt, g2pB_taskb.txt, 2233, 903, 311, 122, 591, 106, 22
orig_taskb.txt, g2pC_taskb.txt, 2233, 733, 311, 103, 535, 97, 30
