Original, Analysed, Paragraph_Original, Paragraph_Analysed, N_words_Original, N_words_Analysed, N_words_LCS, Score
orig_taska.txt, g0pA_taska.txt, 1, 1, 33, 143, 11, 0.3333333333333333
orig_taska.txt, g0pA_taska.txt, 1, 2, 33, 73, 7, 0.21212121212121213
orig_taska.txt, g0pA_taska.txt, 1, 3, 0, 0, 0, 0
orig_taska.txt, g0pB_taska.txt, 1, 1, 33, 27, 6, 0.18181818181818182
orig_taska.txt, g0pB_taska.txt, 7, 2, 19, 66, 4, 0.21052631578947367
orig_taska.txt, g0pB_taska.txt, 2, 3, 41, 42, 5, 0.12195121951219512
orig_taska.txt, g0pB_taska.txt, 7, 4, 19, 22, 3, 0.15789473684210525
orig_taska.txt, g0pB_taska.txt, 7, 5, 19, 117, 5, 0.2631578947368421
orig_taska.txt, g0pC_taska.txt, 1, 1, 33, 57, 13, 0.3939393939393939
orig_taska.txt, g0pC_taska.txt, 1, 2, 33, 72, 9, 0.2727272727272727
orig_taska.txt, g0pC_taska.txt, 5, 3, 44, 50, 26, 0.5909090909090909
orig_taska.txt, g0pC_taska.txt, 6, 4, 26, 15, 11, 0.4230769230769231
orig_taska.txt, g0pD_taska.txt, 6, 1, 26, 155, 25, 0.9615384615384616
orig_taska.txt, g0pD_taska.txt, 5, 2, 44, 23, 23, 0.5227272727272727
orig_taska.txt, g0pE_taska.txt, 1, 1, 33, 283, 33, 1.0
orig_taska.txt, g1pA_taska.txt, 1, 1, 33, 206, 16, 0.48484848484848486
orig_taska.txt, g1pA_taska.txt, 1, 2, 0, 0, 0, 0
orig_taska.txt, g1pB_taska.txt, 1, 1, 33, 69, 9, 0.2727272727272727
orig_taska.txt, g1pB_taska.txt, 2, 2, 41, 86, 6, 0.14634146341463414
orig_taska.txt, g1pB_taska.txt, 1, 3, 0, 0, 0, 0
orig_taska.txt, g1pD_taska.txt, 6, 1, 26, 217, 20, 0.7692307692307693
orig_taska.txt, g2pA_taska.txt, 7, 1, 19, 21, 3, 0.15789473684210525
orig_taska.txt, g2pA_taska.txt, 1, 2, 33, 61, 5, 0.15151515151515152
orig_taska.txt, g2pA_taska.txt, 1, 3, 33, 140, 9, 0.2727272727272727
orig_taska.txt, g2pA_taska.txt, 7, 4, 19, 58, 3, 0.15789473684210525
orig_taska.txt, g2pB_taska.txt, 7, 1, 19, 72, 5, 0.2631578947368421
orig_taska.txt, g2pB_taska.txt, 7, 2, 19, 89, 4, 0.21052631578947367
orig_taska.txt, g2pB_taska.txt, 7, 3, 19, 90, 5, 0.2631578947368421
orig_taska.txt, g2pB_taska.txt, 1, 4, 0, 0, 0, 0
orig_taska.txt, g2pC_taska.txt, 2, 1, 41, 62, 41, 1.0
orig_taska.txt, g2pC_taska.txt, 5, 2, 44, 44, 44, 1.0
orig_taska.txt, g2pC_taska.txt, 6, 3, 26, 26, 26, 1.0
orig_taska.txt, g2pC_taska.txt, 7, 4, 19, 71, 5, 0.2631578947368421
orig_taska.txt, g2pC_taska.txt, 1, 5, 0, 0, 0, 0
orig_taska.txt, g2pE_taska.txt, 1, 1, 33, 165, 26, 0.7878787878787878
orig_taska.txt, g2pE_taska.txt, 4, 2, 76, 75, 49, 0.6447368421052632
orig_taska.txt, g2pE_taska.txt, 6, 3, 26, 104, 24, 0.9230769230769231
orig_taska.txt, g2pE_taska.txt, 1, 4, 0, 0, 0, 0
orig_taska.txt, g3pA_taska.txt, 1, 1, 33, 197, 14, 0.42424242424242425
orig_taska.txt, g3pB_taska.txt, 7, 1, 19, 38, 4, 0.21052631578947367
orig_taska.txt, g3pB_taska.txt, 7, 2, 19, 71, 4, 0.21052631578947367
orig_taska.txt, g3pB_taska.txt, 2, 3, 41, 44, 7, 0.17073170731707318
orig_taska.txt, g3pB_taska.txt, 7, 4, 19, 50, 5, 0.2631578947368421
orig_taska.txt, g3pC_taska.txt, 1, 1, 33, 24, 24, 0.7272727272727273
orig_taska.txt, g3pC_taska.txt, 4, 2, 76, 76, 75, 0.9868421052631579
orig_taska.txt, g3pC_taska.txt, 6, 3, 26, 26, 26, 1.0
orig_taska.txt, g4pB_taska.txt, 1, 1, 33, 129, 10, 0.30303030303030304
orig_taska.txt, g4pB_taska.txt, 7, 2, 19, 73, 5, 0.2631578947368421
orig_taska.txt, g4pB_taska.txt, 1, 3, 0, 0, 0, 0
orig_taska.txt, g4pC_taska.txt, 1, 1, 33, 77, 33, 1.0
orig_taska.txt, g4pC_taska.txt, 2, 2, 41, 41, 41, 1.0
orig_taska.txt, g4pC_taska.txt, 4, 3, 76, 76, 76, 1.0
orig_taska.txt, g4pC_taska.txt, 5, 4, 44, 44, 44, 1.0
orig_taska.txt, g4pC_taska.txt, 6, 5, 26, 26, 26, 1.0
orig_taska.txt, g4pC_taska.txt, 7, 6, 19, 19, 19, 1.0
orig_taska.txt, g4pC_taska.txt, 1, 7, 0, 0, 0, 0
orig_taska.txt, g4pD_taska.txt, 1, 1, 33, 29, 10, 0.30303030303030304
orig_taska.txt, g4pD_taska.txt, 2, 2, 41, 38, 16, 0.3902439024390244
orig_taska.txt, g4pD_taska.txt, 2, 3, 41, 17, 12, 0.2926829268292683
orig_taska.txt, g4pD_taska.txt, 3, 4, 63, 83, 46, 0.7301587301587301
orig_taska.txt, g4pD_taska.txt, 5, 5, 44, 35, 15, 0.3409090909090909
orig_taska.txt, g4pD_taska.txt, 1, 6, 0, 0, 0, 0
orig_taska.txt, g4pE_taska.txt, 1, 1, 33, 43, 10, 0.30303030303030304
orig_taska.txt, g4pE_taska.txt, 7, 2, 19, 71, 7, 0.3684210526315789
orig_taska.txt, g4pE_taska.txt, 3, 3, 63, 35, 13, 0.20634920634920634
orig_taska.txt, g4pE_taska.txt, 1, 4, 33, 53, 7, 0.21212121212121213
orig_taska.txt, g4pE_taska.txt, 1, 5, 0, 0, 0, 0
orig_taskb.txt, g0pA_taskb.txt, 1, 1, 81, 68, 48, 0.5925925925925926
orig_taskb.txt, g0pA_taskb.txt, 1, 2, 81, 80, 48, 0.5925925925925926
orig_taskb.txt, g0pA_taskb.txt, 6, 3, 29, 58, 29, 1.0
orig_taskb.txt, g0pB_taskb.txt, 1, 1, 81, 47, 15, 0.18518518518518517
orig_taskb.txt, g0pB_taskb.txt, 4, 2, 115, 198, 29, 0.25217391304347825
orig_taskb.txt, g0pB_taskb.txt, 1, 3, 0, 0, 0, 0
orig_taskb.txt, g0pC_taskb.txt, 6, 1, 29, 84, 6, 0.20689655172413793
orig_taskb.txt, g0pC_taskb.txt, 2, 2, 65, 48, 11, 0.16923076923076924
orig_taskb.txt, g0pC_taskb.txt, 6, 3, 29, 60, 6, 0.20689655172413793
orig_taskb.txt, g0pD_taskb.txt, 1, 1, 81, 54, 37, 0.4567901234567901
orig_taskb.txt, g0pD_taskb.txt, 2, 2, 65, 26, 24, 0.36923076923076925
orig_taskb.txt, g0pE_taskb.txt, 1, 1, 81, 87, 61, 0.7530864197530864
orig_taskb.txt, g1pA_taskb.txt, 5, 1, 48, 205, 18, 0.375
orig_taskb.txt, g1pA_taskb.txt, 1, 2, 0, 0, 0, 0
orig_taskb.txt, g1pB_taskb.txt, 6, 1, 29, 197, 9, 0.3103448275862069
orig_taskb.txt, g1pB_taskb.txt, 1, 2, 0, 0, 0, 0
orig_taskb.txt, g1pD_taskb.txt, 1, 1, 81, 278, 55, 0.6790123456790124
orig_taskb.txt, g2pA_taskb.txt, 1, 1, 81, 101, 32, 0.3950617283950617
orig_taskb.txt, g2pA_taskb.txt, 4, 2, 115, 77, 32, 0.2782608695652174
orig_taskb.txt, g2pA_taskb.txt, 2, 3, 65, 82, 15, 0.23076923076923078
orig_taskb.txt, g2pB_taskb.txt, 2, 1, 65, 36, 9, 0.13846153846153847
orig_taskb.txt, g2pB_taskb.txt, 6, 2, 29, 115, 7, 0.2413793103448276
orig_taskb.txt, g2pB_taskb.txt, 2, 3, 65, 37, 11, 0.16923076923076924
orig_taskb.txt, g2pB_taskb.txt, 2, 4, 65, 24, 5, 0.07692307692307693
orig_taskb.txt, g2pB_taskb.txt, 1, 5, 0, 0, 0, 0
orig_taskb.txt, g2pC_taskb.txt, 6, 1, 29, 44, 7, 0.2413793103448276
orig_taskb.txt, g2pC_taskb.txt, 4, 2, 115, 138, 28, 0.24347826086956523
orig_taskb.txt, g2pE_taskb.txt, 1, 1, 81, 88, 67, 0.8271604938271605
orig_taskb.txt, g2pE_taskb.txt, 2, 2, 65, 71, 55, 0.8461538461538461
orig_taskb.txt, g2pE_taskb.txt, 1, 3, 0, 0, 0, 0
orig_taskb.txt, g3pA_taskb.txt, 1, 1, 81, 29, 17, 0.20987654320987653
orig_taskb.txt, g3pA_taskb.txt, 3, 2, 185, 86, 50, 0.2702702702702703
orig_taskb.txt, g3pA_taskb.txt, 4, 3, 115, 72, 30, 0.2608695652173913
orig_taskb.txt, g3pA_taskb.txt, 1, 4, 81, 22, 6, 0.07407407407407407
orig_taskb.txt, g3pB_taskb.txt, 6, 1, 29, 79, 7, 0.2413793103448276
orig_taskb.txt, g3pB_taskb.txt, 1, 2, 81, 73, 17, 0.20987654320987653
orig_taskb.txt, g3pB_taskb.txt, 6, 3, 29, 71, 6, 0.20689655172413793
orig_taskb.txt, g3pB_taskb.txt, 6, 4, 29, 74, 6, 0.20689655172413793
orig_taskb.txt, g3pC_taskb.txt, 6, 1, 29, 53, 6, 0.20689655172413793
orig_taskb.txt, g3pC_taskb.txt, 6, 2, 29, 34, 4, 0.13793103448275862
orig_taskb.txt, g3pC_taskb.txt, 6, 3, 29, 44, 3, 0.10344827586206896
orig_taskb.txt, g3pC_taskb.txt, 6, 4, 29, 48, 5, 0.1724137931034483
orig_taskb.txt, g4pB_taskb.txt, 6, 1, 29, 215, 8, 0.27586206896551724
orig_taskb.txt, g4pB_taskb.txt, 1, 2, 0, 0, 0, 0
orig_taskb.txt, g4pC_taskb.txt, 6, 1, 29, 136, 8, 0.27586206896551724
orig_taskb.txt, g4pC_taskb.txt, 6, 2, 29, 38, 5, 0.1724137931034483
orig_taskb.txt, g4pC_taskb.txt, 1, 3, 0, 0, 0, 0
orig_taskb.txt, g4pD_taskb.txt, 1, 1, 81, 84, 18, 0.2222222222222222
orig_taskb.txt, g4pD_taskb.txt, 4, 2, 115, 55, 16, 0.1391304347826087
orig_taskb.txt, g4pD_taskb.txt, 5, 3, 48, 42, 8, 0.16666666666666666
orig_taskb.txt, g4pD_taskb.txt, 6, 4, 29, 60, 5, 0.1724137931034483
orig_taskb.txt, g4pD_taskb.txt, 1, 5, 0, 0, 0, 0
orig_taskb.txt, g4pE_taskb.txt, 1, 1, 81, 84, 49, 0.6049382716049383
orig_taskb.txt, g4pE_taskb.txt, 5, 2, 48, 150, 47, 0.9791666666666666
orig_taskc.txt, g0pA_taskc.txt, 1, 1, 52, 45, 34, 0.6538461538461539
orig_taskc.txt, g0pA_taskc.txt, 2, 2, 56, 55, 48, 0.8571428571428571
orig_taskc.txt, g0pA_taskc.txt, 3, 3, 48, 51, 47, 0.9791666666666666
orig_taskc.txt, g0pA_taskc.txt, 5, 4, 18, 73, 17, 0.9444444444444444
orig_taskc.txt, g0pB_taskc.txt, 1, 1, 52, 48, 36, 0.6923076923076923
orig_taskc.txt, g0pB_taskc.txt, 3, 2, 48, 92, 48, 1.0
orig_taskc.txt, g0pB_taskc.txt, 5, 3, 18, 36, 6, 0.3333333333333333
orig_taskc.txt, g0pB_taskc.txt, 5, 4, 18, 46, 6, 0.3333333333333333
orig_taskc.txt, g0pB_taskc.txt, 5, 5, 18, 79, 17, 0.9444444444444444
orig_taskc.txt, g0pB_taskc.txt, 1, 6, 0, 0, 0, 0
orig_taskc.txt, g0pC_taskc.txt, 5, 1, 18, 95, 7, 0.3888888888888889
orig_taskc.txt, g0pC_taskc.txt, 5, 2, 18, 49, 5, 0.2777777777777778
orig_taskc.txt, g0pC_taskc.txt, 5, 3, 18, 46, 4, 0.2222222222222222
orig_taskc.txt, g0pC_taskc.txt, 3, 4, 48, 2, 1, 0.020833333333333332
orig_taskc.txt, g0pD_taskc.txt, 1, 1, 52, 60, 27, 0.5192307692307693
orig_taskc.txt, g0pD_taskc.txt, 3, 2, 48, 74, 30, 0.625
orig_taskc.txt, g0pD_taskc.txt, 2, 3, 56, 38, 35, 0.625
orig_taskc.txt, g0pE_taskc.txt, 5, 1, 18, 76, 9, 0.5
orig_taskc.txt, g1pA_taskc.txt, 2, 1, 56, 146, 38, 0.6785714285714286
orig_taskc.txt, g1pA_taskc.txt, 5, 2, 18, 66, 8, 0.4444444444444444
orig_taskc.txt, g1pB_taskc.txt, 1, 1, 52, 41, 28, 0.5384615384615384
orig_taskc.txt, g1pB_taskc.txt, 2, 2, 56, 47, 38, 0.6785714285714286
orig_taskc.txt, g1pB_taskc.txt, 3, 3, 48, 87, 26, 0.5416666666666666
orig_taskc.txt, g1pB_taskc.txt, 5, 4, 18, 67, 8, 0.4444444444444444
orig_taskc.txt, g1pB_taskc.txt, 1, 5, 0, 0, 0, 0
orig_taskc.txt, g1pD_taskc.txt, 5, 1, 18, 118, 10, 0.5555555555555556
orig_taskc.txt, g2pA_taskc.txt, 1, 1, 52, 51, 47, 0.9038461538461539
orig_taskc.txt, g2pA_taskc.txt, 2, 2, 56, 58, 40, 0.7142857142857143
orig_taskc.txt, g2pA_taskc.txt, 3, 3, 48, 52, 42, 0.875
orig_taskc.txt, g2pA_taskc.txt, 4, 4, 65, 69, 58, 0.8923076923076924
orig_taskc.txt, g2pA_taskc.txt, 5, 5, 18, 17, 16, 0.8888888888888888
orig_taskc.txt, g2pA_taskc.txt, 1, 6, 0, 0, 0, 0
orig_taskc.txt, g2pB_taskc.txt, 1, 1, 52, 49, 22, 0.4230769230769231
orig_taskc.txt, g2pB_taskc.txt, 5, 2, 18, 48, 5, 0.2777777777777778
orig_taskc.txt, g2pB_taskc.txt, 3, 3, 48, 45, 19, 0.3958333333333333
orig_taskc.txt, g2pB_taskc.txt, 5, 4, 18, 59, 7, 0.3888888888888889
orig_taskc.txt, g2pB_taskc.txt, 1, 5, 0, 0, 0, 0
orig_taskc.txt, g2pC_taskc.txt, 5, 1, 18, 231, 11, 0.6111111111111112
orig_taskc.txt, g2pE_taskc.txt, 5, 1, 18, 114, 5, 0.2777777777777778
orig_taskc.txt, g3pA_taskc.txt, 1, 1, 52, 57, 40, 0.7692307692307693
orig_taskc.txt, g3pA_taskc.txt, 2, 2, 56, 52, 44, 0.7857142857142857
orig_taskc.txt, g3pA_taskc.txt, 3, 3, 48, 46, 35, 0.7291666666666666
orig_taskc.txt, g3pA_taskc.txt, 5, 4, 18, 46, 6, 0.3333333333333333
orig_taskc.txt, g3pA_taskc.txt, 5, 5, 18, 52, 6, 0.3333333333333333
orig_taskc.txt, g3pA_taskc.txt, 4, 6, 65, 77, 50, 0.7692307692307693
orig_taskc.txt, g3pA_taskc.txt, 1, 7, 0, 0, 0, 0
orig_taskc.txt, g3pB_taskc.txt, 5, 1, 18, 46, 5, 0.2777777777777778
orig_taskc.txt, g3pB_taskc.txt, 2, 2, 56, 59, 26, 0.4642857142857143
orig_taskc.txt, g3pB_taskc.txt, 5, 3, 18, 29, 5, 0.2777777777777778
orig_taskc.txt, g3pB_taskc.txt, 5, 4, 18, 81, 6, 0.3333333333333333
orig_taskc.txt, g3pB_taskc.txt, 1, 5, 0, 0, 0, 0
orig_taskc.txt, g3pC_taskc.txt, 5, 1, 18, 26, 4, 0.2222222222222222
orig_taskc.txt, g3pC_taskc.txt, 5, 2, 18, 76, 5, 0.2777777777777778
orig_taskc.txt, g4pB_taskc.txt, 1, 1, 52, 54, 47, 0.9038461538461539
orig_taskc.txt, g4pB_taskc.txt, 2, 2, 56, 59, 44, 0.7857142857142857
orig_taskc.txt, g4pB_taskc.txt, 3, 3, 48, 42, 34, 0.7083333333333334
orig_taskc.txt, g4pB_taskc.txt, 5, 4, 18, 52, 6, 0.3333333333333333
orig_taskc.txt, g4pB_taskc.txt, 1, 5, 0, 0, 0, 0
orig_taskc.txt, g4pC_taskc.txt, 5, 1, 18, 70, 5, 0.2777777777777778
orig_taskc.txt, g4pC_taskc.txt, 5, 2, 18, 52, 3, 0.16666666666666666
orig_taskc.txt, g4pD_taskc.txt, 5, 1, 18, 75, 7, 0.3888888888888889
orig_taskc.txt, g4pD_taskc.txt, 5, 2, 18, 61, 6, 0.3333333333333333
orig_taskc.txt, g4pD_taskc.txt, 5, 3, 18, 60, 7, 0.3888888888888889
orig_taskc.txt, g4pD_taskc.txt, 3, 4, 48, 26, 3, 0.0625
orig_taskc.txt, g4pD_taskc.txt, 3, 5, 48, 23, 6, 0.125
orig_taskc.txt, g4pE_taskc.txt, 3, 1, 48, 67, 42, 0.875
orig_taskc.txt, g4pE_taskc.txt, 5, 2, 18, 46, 6, 0.3333333333333333
orig_taskc.txt, g4pE_taskc.txt, 5, 3, 18, 9, 3, 0.16666666666666666
orig_taskc.txt, g4pE_taskc.txt, 5, 4, 18, 14, 3, 0.16666666666666666
orig_taskc.txt, g4pE_taskc.txt, 5, 5, 18, 69, 8, 0.4444444444444444
